Id;splMass;StdC23;Gonadwt;Idweight;splDate;C14.0iso;C14:0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C17.0iso;C17.0anteiso;C17.0;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w11;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.3w6;C20.4w3;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
GO_F01GL12;27;40;60.55;118.04;16/03/20;41.6;166.9;124.5;51.7;44.8;67;339.4;349;67.3;23.4;40.6;241.1;127.1;259.9;48.9;37.3;39.3;66.1;62.8;73.5;70.1;22.3;44.7;21;287.8;11.4;16.6;493.9;39.6;9.1;32.5;47.1;21.3;16.2;62.2;44.5
GO_F01GL13;23.7;40;5.66;109.4;22/05/20;5.4;32.6;21;7.1;8;12.3;46.6;49.8;9.6;3.5;6.9;29.6;15.3;36.4;5;5.3;6.2;11.9;15;10.5;8.7;5.2;6;4.8;42.2;NA;3.2;68.4;7;6.4;7;13.9;8.6;4.7;19.9;10.6
GO_F01GL18;35.6;40;15.52;143.82;11/01/21;27.6;103;87.3;33.2;30.4;45.4;175.7;173.4;43.8;14.3;26;135.2;69.3;152;25.5;30.4;17.4;36.7;44.9;52.9;48.9;14.4;28.4;22.9;179.7;7.6;9.3;285;30.5;3.8;31.4;40.5;14.1;19.7;64.5;44.6
GO_F02GL12;22.6;40;24.75;104.02;16/03/20;23.7;85.6;66.9;24.6;21.7;30;125.7;123.8;29.9;9.3;16.7;81.5;40.3;104.2;18.1;16.5;13.1;23.6;31.6;33.4;31.6;9.2;20.6;14;118;5;5.9;178.6;25;6.1;21.6;34.4;8.2;10.4;30.7;33.6
GO_F03GL12;27.5;40;64.24;218.98;16/03/20;24.3;82.8;63.9;23.6;20.4;32.9;140;171.1;31.5;9.5;18.3;109;51.3;128.2;22;20.7;20.6;32.4;35.1;40.9;35.8;12.7;24.6;14.9;146.9;6.5;9;253;29.7;8.4;23.3;36;9.3;15;36.9;33.9
GO_F03GL17;31.9;40;29.63;114.9;28/09/20;32.3;145.7;88.4;32.6;32.7;46.3;214.1;225.1;42.3;13.1;28.6;133.7;77.8;142.3;25.2;29;19.3;46.5;49;48.7;56.4;15.5;26.5;22.5;166.8;7.8;11.6;325.2;32.8;5.3;27.4;40.7;11.6;17.4;66.4;45.9
GO_F04GL10;25.6;40;33.3;148.49;02/12/19;17.3;81.4;54.7;19.1;19.6;28.2;138.2;140.4;28.6;9;17.8;104.8;60.6;126.5;21;19.5;20.7;37.3;38.7;46.3;47.7;12.3;25.9;15.5;148.6;6.4;8.3;241.9;27;5.1;24.9;38.7;55.4;12.5;38;37.9
GO_F04GL11;26.8;40;11.74;109.13;22/01/20;28.3;95.4;86.2;37.7;28.3;43.4;145.1;145.8;36.3;14.2;20.2;87.4;43.2;116.5;14.2;18.7;10.1;19.9;40.6;34.6;34.1;10.6;18.6;16;129;4.5;5.9;196.1;26.1;4.5;23.3;35.1;8.4;14.9;34.5;33.7
GO_F04GL12;28.2;40;30.13;105.31;16/03/20;26.9;106.5;73.3;26.1;23.2;35.6;150.9;186.3;32;10.2;19.5;131.1;48.2;125.4;22.2;21.9;14.1;38.7;41.1;42.7;38.2;12.5;25.8;15.9;149.1;5.4;8.7;263.9;30.9;3.2;25.5;35.3;8;14.4;39.7;47.5
GO_F04GL14;24.4;40;9.74;94.1;03/07/20;52.6;160.3;125.4;38.8;39.8;58.1;225.1;245.2;49.9;13.5;33.5;125.4;54.4;131.2;17.5;24.3;16.8;32.6;29.4;35.4;31;10.6;18.1;14.5;104.7;6.3;8.4;218.8;18.1;3.6;18.9;33.5;9.8;18.9;98.5;30.4
GO_F04GL18;27.9;40;6.92;127.73;11/01/21;11.9;46.1;37.9;15.4;14.4;24.3;78;71.7;18.1;7;11.3;54.6;33.1;65;11.9;12.2;10.6;15.9;23.2;18.3;23.9;6.1;12;11;81.2;2.8;4;117.1;13.9;2.3;12.9;19.5;19;8.2;21.1;18.2
GO_F04GL20;29;40;4.4;128.74;08/03/21;15.6;56.3;50.5;21.6;19.9;30.2;114.2;90.7;24.1;9.8;15.8;64.7;49.9;85.1;17.7;16.3;13.7;20.2;32.8;35.5;35.4;8.8;19.3;16.8;162;4.3;4.6;174.2;19;3.9;21.4;32.4;9;13.6;39.7;34.6
GO_F05GL10;28.2;40;39.8;104.26;02/12/19;23.1;97.6;70.6;24.7;27.6;35.4;207.6;150.4;38.8;11.4;24.6;110.4;61.6;147.9;27.1;19.4;20;29.7;45.9;48.4;50;12.9;29.7;16.4;173.6;7.3;8.1;241.9;32.2;6.3;31.5;39.4;61.1;16.8;43.8;43
GO_F05GL13;28.5;40;12.55;138.6;22/05/20;22.5;127.4;83.5;29.9;28.2;46.5;160;180;32.8;11.7;20;99.5;59.3;113.1;16.4;20.3;20.2;41.2;42.9;25.2;26.1;10.2;17.5;15.2;130.2;5.5;9;206;44.5;9.1;18;35.8;7.5;13.7;60.5;28.5
GO_F05GL14;29.3;40;9.08;121.3;03/07/20;469.7;1518.4;1206.3;387.5;447;680.1;2724.3;2517.1;693.1;200.5;585.4;2088.6;760.3;1946;244.9;474.5;228.4;442.7;653;1030.6;501.9;202.3;385.8;313.8;2314.2;121.4;151.5;4024.4;449.5;216;439.7;550;490.2;323.3;1507.2;412.8
GO_F05GL20;26.3;40;9.22;135.75;08/03/21;17.3;69.2;55.9;23.1;22.3;28.2;128;101.6;24.5;9.9;15.9;68;57.1;95.1;25;14.5;15.7;21.6;30.3;33.7;32.8;8.5;19.7;14.5;152.6;4.5;4.6;168.5;18.2;4;20;32.2;8.7;12.7;33.1;29.1
GO_F06GL11;26.9;40;15.16;71.45;22/01/20;34.1;131.6;91.9;33.6;32.4;40.4;203.3;155.5;39.4;12.1;20.5;121.4;79.9;144.7;36.9;19.9;28.7;35.8;51.5;31.1;29.1;14.4;26.1;15.3;177.1;5.6;6.8;212.6;32.4;5.2;28.6;39.2;31.5;9.9;29.4;49.8
GO_F06GL13;23.6;40;4.49;133.89;22/05/20;12.5;96.1;42.9;14.5;15.8;23.9;125.4;168.1;19.3;6.5;14.9;99.6;44.8;76.8;22.8;18.8;15.3;53.1;32.7;28.4;26.3;9.3;18.6;13.1;115.9;5.9;11.4;273.2;16.4;5.6;14.9;36;23.9;12.2;56.6;30.3
GO_F07GL12;23.5;40;37.56;117.85;16/03/20;30.9;107.5;79.8;30;26.1;34.9;157.1;151.1;32.8;10.7;18;93.7;45.3;110.9;20;15;12.3;22.2;30.7;35.5;30.9;9.2;20.2;12.6;124.6;4.1;5.1;189;35.5;4;22.8;34;6.6;9.7;25.9;32.3
GO_F07GL13;24.4;40;9.81;104.43;22/05/20;16.5;97.9;57;22.2;19.4;32.9;121.3;172.2;25.7;9.2;17.9;108.1;48.6;96.4;24.2;21.7;16.2;41.5;40.8;28.8;39.7;10.2;18.7;15.7;122.2;5.2;8.9;245.2;18.2;9.8;17.4;34.7;7.4;14;45.6;31.5
GO_F07GL14;23.1;40;6.3;126.01;03/07/20;40.6;152;114.2;36.4;44.7;67.2;297.8;300.9;66.2;18.7;46.7;209.9;102.8;215.4;30.6;43.2;23.9;57.4;61.1;67.7;61.1;22.1;34.9;25.8;209.8;11.6;16.5;453.2;27.1;7.7;30.5;50.1;13.7;29.1;147.8;29.5
GO_F07GL18;27.8;40;14.95;114.32;11/01/21;427.5;1855.9;1342.5;515.5;507;736;3138.1;3168.2;637.9;246.2;509.8;2062;1205.4;2577.8;433.4;464.5;406.5;641.8;869.7;1159.4;761.1;227.9;499.1;377.1;3180.1;123.1;160.4;4943.4;576.6;292.8;518.6;604.7;697.3;303.6;929.8;540.9
GO_F08GL11;29.2;40;26.92;117.68;22/01/20;21.5;85;62.3;21.6;22.3;34.7;155.6;155.3;31.7;11;21.9;123;48.4;137;22.8;22.1;17;35.2;37.3;50.2;35.6;12.8;30.1;17.9;179.3;7;9.4;284.9;53.8;5.6;29.7;41;11.6;16.9;52.1;42.3
GO_F08GL13;23.6;40;3.1;108.75;22/05/20;8.8;58.9;34.4;12.1;12.2;20.1;103.1;108.5;17.9;6.1;14.5;82.5;32.3;70;14.2;15.8;9.2;30;25.9;42.9;21.5;7.3;16;10.7;147.1;3.8;5.5;210.7;10.8;4.4;10.8;33.9;40.2;9.4;27.1;18.7
GO_F09GL10;29.6;40;24.87;103.59;02/12/19;24.4;98.1;71.2;25.7;25.3;35.7;183.9;159.5;39;11.6;27;138.5;73.3;152.4;30.6;28.2;27.5;37.1;55;53.3;59.1;14.5;32.3;20.2;182.8;8.8;10;262.3;34.3;5.9;30.2;38.8;52.3;15;58.9;44.9
GO_F10GL10;22.3;40;33.39;105.33;02/12/19;8.1;25.1;20.5;7.7;6.6;9;37.7;36.8;9.7;3.2;5.9;29.3;15.4;35.7;5.8;5.8;3.7;5.5;11.2;10.5;10.8;3.2;6.3;3.6;37;NA;NA;49.2;9.3;4;7.6;11.8;10.5;3;9.1;9.8
GO_F11GL14;31.5;40;7.94;133.5;03/07/20;28.2;86.2;74.1;22.5;23.5;38.4;138.8;158;38;10.8;25.5;142.1;49.7;127.2;16.1;29.2;12.7;27.5;38.2;47.3;33.8;11.5;21.7;17;116.8;7.2;10.4;251.1;24.9;5.1;27.4;35.5;22.5;21;113.3;36.3
GO_F11GL17;29.5;40;13.49;89.99;28/09/20;26.3;109.9;72.4;27.4;25.1;38.1;146.6;163.4;36;11.2;22.6;127.9;56.9;133.5;20.4;25.7;15.5;35.5;40.1;48.4;47.1;11.7;23.9;20.3;142.2;6.7;9.2;265.6;49.6;7.5;25.5;38.6;10;14.6;48.8;35
GO_F12GL14;26.6;40;13.78;120.76;03/07/20;41.6;152.3;119.2;39.7;40;59.9;210.9;234.6;49.7;15.2;29.3;122.3;52.8;138.9;18.7;23.5;15.1;40.1;33.1;34.6;33;9.9;18.7;14;120.7;5.3;8.4;226.6;18.7;4.9;17.5;33.3;7.5;12.3;49;25.5
GO_F12GL20;24.6;40;13.57;110.04;08/03/21;21.4;93.1;64.9;26.8;24.3;34.6;153.2;146.3;30.4;10.8;20.6;89.8;56.7;120.4;18.6;18.8;14.5;28.9;38;41.6;47.4;11.2;21.7;18.4;142.7;5.2;7.8;231.9;27.8;5.8;27.8;38;9.7;15.5;50;41.1
GO_F13GL20;25.8;40;9.52;89.13;08/03/21;19.1;84;57.4;25.4;22.4;28.6;127.7;113.5;25.6;9.6;18.1;75.2;60.4;100.5;17;18.5;13;24;38.3;35.4;43.2;9.3;18.2;16.9;135.1;5.1;6.2;193.6;35;4.4;20.4;33.2;9.3;12.1;33.1;32.1
GO_F14GL20;22.9;40;6.94;90.69;08/03/21;22.1;118;63.4;27;21;34.5;133.8;138.8;23.5;8.6;16.6;66.4;48.9;92.6;14.9;14.9;10.3;24.2;30.1;33.1;46.7;8.3;16.4;16.3;116.9;4.1;6.2;177.4;19;6.1;15.2;36.1;7.5;14;40.9;27.5
GO_M01GL10;24.7;40;25.34;119.27;02/12/19;1.1;3.4;3.6;1.3;1.8;3.1;31.7;8.2;4.9;2.4;11.4;53.3;11.3;55.7;5.1;9.6;4.1;2.9;24;15.8;15.1;9.4;14.8;8.6;97.1;2.6;1.7;125.4;9.1;4.3;7.7;31.6;28.2;14.3;21.1;15.2
GO_M01GL14;23.2;40;21.29;98.51;03/07/20;NA;7.6;5.5;NA;3.3;4.6;38.7;14.6;6.4;NA;12.2;50.8;11.2;46.5;3.9;11.8;3.5;2.6;19.4;18.5;15;6.8;11.3;8.9;67.1;3.4;3.1;156.7;6.6;4.4;7.3;30.9;10.3;13;47.7;11.6
GO_M01GL17;34.1;40;39.26;135.45;28/09/20;NA;6.8;4.8;NA;2.8;4.3;41.9;14.8;5.8;NA;14.7;74.6;14.6;73;5.8;13.8;4.3;4;27.6;19.3;21.7;12.4;17.4;11.3;113.3;3.9;3.4;220.9;9.7;6.4;7.3;29.9;27.4;11.7;28.9;15.7
GO_M01GL20;24.6;40;12.65;138.82;08/03/21;NA;4.7;4.1;NA;2.7;3.8;27.7;8.8;4;NA;9;45.1;9.4;46;3.5;8.6;3.1;NA;18.5;15.6;11.9;7.8;12;8.7;91.3;2.3;NA;134.3;7.2;4.1;6.6;28.7;23.7;9.2;14.4;13.5
GO_M02GL10;20.8;40;24.18;100.3;02/12/19;NA;5.2;3.6;NA;NA;3;23.8;9.4;3.8;NA;12;58.9;10.8;56.3;3.5;9.9;3.2;NA;21.9;15.7;12.7;9;13.2;8.6;88.5;2.4;NA;140.1;7.8;3.6;5.5;27.9;20.6;8.1;11.9;15.3
GO_M02GL13;26;40;2.87;121.61;22/05/20;13;74.9;59.1;18;22.1;40.1;182.4;111.3;34.9;11.4;32.2;139.5;56.8;141.4;24.2;24.6;19.6;28.9;58.1;43;48;15.4;27.3;18.6;195.5;6.9;9.5;295.4;51.5;4.3;15.1;42.3;8;21.6;104.1;16.6
