Id;splMass;Gonadwt;Idweight;splDate;Cant1;Canthaxanthin;Echi1;Echinenone;Astaxanthin
GO_F01_GL12;13.6;60.55;118.04;16/03/20;0.076711;0.292583;0.008925;0.007396;6.338238
GO_F01_GL13;12;5.66;109.4;22/05/20;0.055686;0.182282;0.002809;0.003238;3.883646
GO_F01_GL18;13.7;15.52;143.82;11/01/21;0.079004;0.249294;0.006137;0.005865;5.789376
GO_F01_GL19;17.8;61.25;140.24;08/02/21;0.066929;0.199333;0.006245;0.003430;4.553998
GO_F01_GL22;11;8.27;132.07;28/05/21;0.077968;0.353634;0.010129;0.008296;6.438787
GO_F02_GL12;11.1;24.75;104.02;16/03/20;0.081051;0.297861;0.006922;0.007660;6.173297
GO_F02_GL15;16;30.51;195.34;29/07/20;0.037206;0.146374;0.005805;0.004794;5.044390
GO_F02_GL16;11;34.72;120.42;26/08/20;0.047986;0.137052;0.004739;0.004511;4.155120
GO_F02_GL17;13.7;39.19;150.85;28/09/20;0.068473;0.303311;0.014917;0.007357;5.326886
GO_F02_GL19;12.3;6.09;104.49;08/02/21;0.070298;0.255429;0.004040;0.008696;5.364684
GO_F02_GL23;12.8;28.99;129.87;16/07/21;0.061053;0.269891;0.005474;0.010175;4.913612
GO_F03_GL12;13;64.24;218.98;16/03/20;0.085958;0.297463;0.008305;0.008811;5.910041
GO_F03_GL17;13.1;29.63;114.9;28/09/20;0.074506;0.249236;0.008449;0.008356;6.066094
GO_F03_GL18;15.7;5.91;140.62;11/01/21;0.073247;0.273041;0.014979;0.010201;5.823024
GO_F03_GL19;18.2;61.23;145.39;08/02/21;0.063634;0.217873;0.007461;0.006974;5.416339
GO_F04_GL10;11.3;33.3;148.49;02/12/19;0.060244;0.189502;0.004199;0.005823;4.249226
GO_F04_GL11;12.7;11.74;109.13;22/01/20;0.111597;0.397594;0.011801;0.011812;7.227876
GO_F04_GL12;9.2;30.13;105.31;16/03/20;0.071355;0.263472;0.011626;0.010691;5.572167
GO_F04_GL14;13.9;9.74;94.1;03/07/20;0.027732;0.074960;0.003438;0.003078;2.674763
GO_F04_GL18;12.7;6.92;127.73;11/01/21;0.094740;0.335888;0.005293;0.009605;6.831676
GO_F04_GL20;14.1;4.4;128.74;08/03/21;0.097247;0.445528;0.042868;0.031979;12.429541
GO_F04_GL21;17.3;2.96;122.4;01/04/21;0.061166;0.200763;0.011081;0.009242;2.656359
GO_F04_GL22;17.8;5.99;99.43;28/05/21;0.054417;0.168330;0.003149;0.002248;4.677806
GO_F05_GL10;11;39.8;104.26;02/12/19;0.069182;0.267707;0.009009;0.008523;8.286381
GO_F05_GL13;13.3;12.55;138.6;22/05/20;0.058295;0.173037;0.004336;0.002657;4.661339
GO_F05_GL14;19;9.08;121.3;03/07/20;0.072991;0.201900;0.005814;0.004396;5.417880
GO_F05_GL17;18.8;28.21;108.41;28/09/20;0.072042;0.223280;0.003802;0.004656;5.748443
GO_F05_GL19;15.4;29.44;113.46;08/02/21;0.087824;0.305854;0.007248;0.009332;5.507471
GO_F05_GL20;11;9.22;135.75;08/03/21;0.086470;0.259584;0.010412;0.006929;6.619293
GO_F05_GL21;17.5;3.88;99.68;01/04/21;0.037019;0.107584;0.004139;0.003114;1.741062
GO_F05_GL23;12.3;17.1;128.4;16/07/21;0.108039;0.377325;0.009917;0.023731;7.176194
GO_F06_GL11;17;15.16;71.45;22/01/20;0.065632;0.278502;0.005814;0.006284;5.009011
GO_F06_GL13;10.4;4.49;133.89;22/05/20;0.152037;0.519697;0.019149;0.027884;17.214621
GO_F06_GL15;16.9;19.8;171.4;29/07/20;0.071835;0.231635;0.009457;0.004963;6.760679
GO_F06_GL23;14.4;19.28;122.44;16/07/21;0.084082;0.290494;0.010163;0.012392;9.046680
GO_F07_GL12;13.2;37.56;117.85;16/03/20;0.082974;0.298906;0.010600;0.010298;6.436330
GO_F07_GL13;13.4;9.81;104.43;22/05/20;0.078699;0.320302;0.006113;0.009972;6.605589
GO_F07_GL14;19.1;6.3;126.01;03/07/20;0.054860;0.147686;0.002297;0.001776;3.373638
GO_F07_GL16;15;19.88;122.13;26/08/20;0.075281;0.327144;0.010863;0.007130;7.129553
GO_F07_GL18;17;14.95;114.32;11/01/21;0.079553;0.237247;0.009983;0.009827;6.627703
GO_F07_GL19;14.7;23.28;91.09;08/02/21;0.058085;0.231510;0.012420;0.013419;8.207789
GO_F07_GL21;12.8;1.77;124.31;01/04/21;0.057926;0.271699;0.022286;0.012465;6.369917
GO_F07_GL22;18.5;16.1;119.39;28/05/21;0.058306;0.192601;0.005167;0.004903;4.160706
GO_F08_GL11;19.2;26.92;117.68;22/01/20;0.068461;0.222092;0.007048;0.007732;5.046336
GO_F08_GL13;14.6;3.1;108.75;22/05/20;0.034153;0.123119;0.007646;0.009343;3.483894
GO_F08_GL16;18.8;23.62;133.05;26/08/20;0.052799;0.141006;0.002773;0.003982;2.772188
GO_F08_GL17;21.4;25.4;90.81;28/09/20;0.066020;0.201365;0.005482;0.004081;5.681329
GO_F08_GL19;18;12.86;171.42;08/02/21;0.072398;0.284782;0.010177;0.020725;9.925092
GO_F08_GL22;16.3;10.33;106.78;28/05/21;0.047315;0.185491;0.003758;0.003588;3.751744
GO_F08_GL23;12.8;8.7;78.13;16/07/21;0.069872;0.240338;0.005172;0.003279;5.824839
GO_F09_GL10;9.8;24.87;103.59;02/12/19;0.072194;0.273493;0.009097;0.008469;5.315567
GO_F10_GL10;14.3;33.39;105.33;02/12/19;0.073766;0.267350;0.008445;0.008781;6.844513
GO_F10_GL16;14.8;15.08;103.37;26/08/20;0.068774;0.232490;0.005612;0.004492;4.155233
GO_F10_GL21;12.5;1.22;102.08;01/04/21;0.097485;0.293730;0.021158;0.020476;5.299924
GO_F10_GL23;14.5;3.12;102.41;16/07/21;0.084837;0.225427;0.014869;0.010406;5.331535
GO_F11_GL14;18.3;7.94;133.5;03/07/20;0.050090;0.149825;0.004417;0.002486;3.127294
GO_F11_GL17;12.9;13.49;89.99;28/09/20;0.066396;0.179130;0.003553;0.007635;4.503447
